author_collaborator,name,organizational_affiliation,optional_email_Department,last_active
A:,"Huffman, David W.",Northern Arizona University,,2022-04-01
A:,"Huffman, Jean M.",Louisiana State University,,2020-11-01
A:,"Hurteau, Matthew D.",University of New Mexico,,2022-04-01
A:,"Ilangakoon, Nayani T.",University of Colorado Boulder,,2022-04-01
A:,"Iniguez, Jose",US Forest Service,,2022-04-01
A:,"Jackson, Stephen T.",U.S. Geological Survey,,2022-04-01
A:,"Jennings, Megan",San Diego State University,,2022-04-01
A:,"Johnson, Lane B.",University of Minnesota,,2022-04-01
A:,"Johnston, James D.",Oregon State University,,2022-04-01
A:,"Jones, Charles",University of California Santa Barbara,,2022-04-01
A:,"Jones, Neil",Louisiana State University,,2020-11-01
A:,"Keeley, Jon E.",U.S. Geological Survey,,2022-04-01
A:,"Kiahtipes, Christopher A.",University of South Florida,,2021-01-01
A:,"Kipfmueller, Kurt F.",University of Minnesota,,2022-04-01
A:,"Kisilyakhov, Yegor K.",Sukachev Forestry Institute,,2022-04-01
A:,"Kitchen, Stanley G",USDA Forest Service,,2022-04-01
A:,"Klimaszewski-Patterson, Anna","California State University, Sacramento",,2022-04-01
A:,"Kobziar, Leda N.",University of Idaho,,2022-04-01
A:,"Kominoski, John",Florida International University,,2022-04-01
A:,"Kosovic, Branko",National Center for Atmospheric Research,,2022-04-01
A:,"Krawchuk, Meg A.",Oregon State University,,2022-04-01
A:,"Lafon, Charles W.",Texas A&M University,,2022-04-01
A:,"Laris, Paul","California State University, Long Beach",,2022-04-01
A:,"Larson, Evan",University of Wisconsin Platteville,,2022-04-01
A:,"Leonard, Jackson",U.S. Forest Service,,2022-04-01
A:,"Li, Hang",Indiana State University,,2022-04-01
A:,"Liebmann, Matthew J.",Harvard University,,2021-01-01
A:,"Lo, Yueh Hsin","Universidad Publica de Navarra, Pamplona, Spain",,2020-05-01
A:,"Loehman, Rachel A.",US Geological Survey,,2021-01-01
A:,"Lombardo, Keith",Southern California Research Learning Center,,2022-04-01
A:,"Lopez, Manuel K.",U.S. Geological Survey,,2022-04-01
A:,"Loria-Salazar, Marcela S.",University of Oklahoma,,2022-04-01
A:,"Lucash, Melissa",University of Oregon,,2022-04-01
A:,"Lynch, Ann M.",US Forest Service,,2020-06-01
A:,"M Cawley, Kaelin","Battelle, NEON project",,2022-04-01
A:,"Mahmoud, Hussam",Colorado State University,,2022-04-01
A:,"Malevich, Steven B.",University of Arizona,,2019-11-01
A:,"Margolis, Ellis Q.",US Geological Survey,,2021-01-01
A:,"Marks, Christopher",National Park Service,,2022-04-01
A:,"Marschall, Joseph M.",University of Missouri,,2022-04-01
A:,"Marshall, Laura A.E.",University of Arizona,,2022-04-01
A:,"Maxwell, R. Stockton",Radford University,,2022-04-01
A:,"Maxwell, Toby",Boise State University,,2022-04-01
A:,"McCarty, Jessica",Miami University,,2022-04-01
A:,"McClellan, Carlee",Navajo Nation,,2021-04-01
C:,"McClure, Emma",Western Colorado University,,2022-04-01
A:,"McKenzie, Donald",University of Washington,,2022-04-01
A:,"McWethy, David B.",Montana State University,,2022-04-01
A:,"Merschel, Andrew G.",Oregon State University,,2022-04-01
A:,"Metlen, Kerry L.",The Nature Conservancy,,2022-04-01
A:,"Meunier, Jed",Wisconsin Department of Natural Resources,,2022-04-01
A:,"Meyer, Marc D.",US Forest Service,,2022-04-01
A:,"Meyer, Rachel",University of California Santa Cruz,,2022-04-01
A:,"Miesel, Jessica R.",Michigan State University,,2022-04-01
A:,"Minor, Jesse",University of Maine at Farmington,,2022-04-01
A:,"Molinari, Nicole A.",US Forest Service,,2022-04-01
A:,"Moser, W. Keith",US Forest Service,,2022-04-01
A:,"Naficy, Cameron E.",Oregon State University,,2022-04-01
A:,"Nagy, Chelsea R.",University of Colorado Boulder,,2022-04-01
A:,"Naito, Adam T.",Northern Michigan University,,2022-04-01
A:,"Niyogi, Dev",University of Texas at Austin,,2022-04-01
A:,"North, Malcolm",US Forest Service,,2022-04-01
A:,"O'Connor, Christopher D.",US Forest Service,,2020-05-01
A:,"Palmer, Hannah M.","University of California, Merced",,2022-04-01
A:,"Parisien, Marc-André",Canadian Forest Service,,2022-04-01
A:,"Parks, Sean A.",US Forest Service,,2022-04-01
A:,"Pellegrini, Adam",University of Cambridge,,2022-04-01
A:,"Platt, Laura",Portland State University,,2022-04-01
A:,"Platt, William J.",Louisiana State University,,2022-04-01
A:,"Portier, Jeanne","Swiss Federal Institute for Forest, Snow and Landscape Research WSL",,2022-04-01
A:,"Poulos, Helen M.",Middlesex College,,2022-04-01
A:,"Poulter, Benjamin",NASA Goddard Space Flight Center,,2022-04-01
A:,"Quade, Jay",University of Arizona,,2020-06-01
A:,"Restaino, Christina","University of Nevada, Reno",,2020-05-01
A:,"Robertson, Kevin",Tall Timbers Research Station,,2022-04-01
A:,"Robertson, Kevin M.",Tall Timbers Research Station,,2020-11-01
A:,"Rocha, Adrian",University of Notre Dame,,2022-04-01
