end_date,degree,university,department,location,chair,dissertation
2016,Ph.D,University of Arizona,School of Natural Resources and the Environment,"Tucson, AZ",Thomas Swetnam and Donald Falk,Climate and human drivers of forest vulnerabilities in the US Southwest: Perspectives from dendroecology
2009,M.S,"University of Maine, Orono",School of Forest Resources,"Orono, ME",Robert Seymour,"The influences of conventional and low density thinning on leaf area, growth, and growing space relationships of eastern white pine (\emph{Pinus strobus} L.)"
2005,B.A,Bates College,Geology,"Lewiston, ME",Dykstra Eusden Jr.,"Strain variations of a hinge-parallel lineation, Presidential Range, New Hampshire"
